Large_Soldier,Small_soldier,Large_worker,Small_worker
456.3,227.3,214.2,143.4
425,233.2,213.9,156.7
428,237.5,222.5,160.3
422.4,237.3,235.2,161.6
441.1,231.8,226.9,155.4
434,247.9,231.5,157.9
437.8,260.3,246.3,154.6
410.6,261.3,248.5,158
412,255.7,247.7,152.3
423.7,237.7,233.4,158.2
412,240.4,235.9,154.1
409.7,245.7,234.4,150.4
424.6,245.2,239.4,161
421.5,239.6,236.4,162.2
417,227.9,226.9,167.9
419.1,244.7,234.9,155.3
415,238.8,230,156.4
417.6,251.5,243.6,165.8
438.6,244.5,242.3,156.4
429,231.2,230.2,159
458.8,245.6,236,162.4
458.2,262.6,247.8,160
423.7,263.3,253.9,165.8
431.1,248.7,246.1,156.7
429,241,236,161.6
421.6,270.7,255.4,154.6
450.2,271.3,202.5,154.1
456.1,239,238.5,155.3
458.2,243.8,248,159
425,229.5,231.9,160.4
412,245.4,240.5,161
438.6,241.6,233.6,158.9
431.1,233.1,232.4,169.7
408.5,277.3,270.9,168.5
429.2,271.3,202.5,150
424.7,237.3,235.2,149
424.4,255.7,247.7,154.4
453.2,239.6,238.4,155.4
450.5,244.5,242.3,151.5
445.9,248.7,246.1,159.1
469.6,243.8,248,156.6
456.1,233.3,247.8,154.5
430.8,247.8,249.1,
434.2,242.8,249.6,
445.2,245,256.9,
438.1,266.8,271.6,
420.5,255,202.7,
413.8,262.8,230.7,
418.3,280.2,233.7,
421.4,267.7,235.1,
439.3,229.5,227.6,
,221.7,224.9,
,235.1,227.5,
,231.7,234.9,
,227.6,232.6,
,225.6,227.4,
,241.6,,
,232.4,,
,235.5,,
